Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
Copacabana;4;1;3;220;16000.0;1700.0;550.0
Leblon;2;1;1;98;4500.0;1637.0;0.0
Tanque;1;1;1;64;900.0;470.0;15.0
Leblon;2;1;1;80;8000.0;2279.0;0.0
Ipanema;1;0;0;54;2100.0;781.0;0.0
Barra da Tijuca;3;2;1;133;3500.0;2292.0;690.0
Pechincha;2;1;0;50;600.0;330.0;14.0
Barra da Tijuca;4;4;4;601;7000.0;5800.0;1202.0
Botafogo;3;2;1;86;3700.0;815.0;139.0
Lagoa;3;3;1;252;9000.0;1900.0;600.0
Tijuca;2;1;0;66;2300.0;125.0;531.0
Ipanema;4;3;1;236;13000.0;3000.0;940.0
Vila Isabel;2;1;0;70;1600.0;750.0;60.0
Barra da Tijuca;3;2;2;212;5500.0;1200.0;682.0
Ipanema;3;1;0;80;3500.0;1000.0;204.0
Anil;2;1;1;65;1500.0;367.0;0.0
Leblon;4;2;4;300;16000.0;4200.0;1764.0
Recreio dos Bandeirantes;3;3;1;120;2600.0;930.0;380.0
Leblon;3;1;1;150;5000.0;1000.0;450.0
Botafogo;2;1;1;84;5000.0;1107.0;210.0
Barra da Tijuca;4;3;2;244;7000.0;3110.0;6900.0
Recreio dos Bandeirantes;3;1;1;81;1900.0;1014.0;80.0
Leblon;4;1;4;200;10000.0;1600.0;1198.0
Pechincha;3;1;1;108;1350.0;900.0;114.0
Glória;1;0;1;48;1100.0;500.0;0.0
Barra da Tijuca;3;2;1;98;2800.0;1520.0;110.0
Lagoa;3;1;0;116;3500.0;1154.0;289.0
Tijuca;2;0;0;70;1600.0;850.0;84.0
Flamengo;1;0;1;41;1700.0;630.0;55.0
Taquara;2;1;0;53;1000.0;400.0;16.0
Taquara;3;1;1;64;1200.0;590.0;546.0
Cachambi;3;1;0;77;1300.0;420.0;25.0
Andaraí;1;2;0;67;1500.0;522.0;104.0
Vargem Pequena;2;1;0;45;1100.0;360.0;40.0
Vila Valqueire;3;3;1;130;2000.0;275.0;0.0
Leblon;2;1;1;70;5500.0;2000.0;400.0
Recreio dos Bandeirantes;2;1;1;68;1500.0;1025.0;112.0
Humaitá;1;1;0;60;3200.0;614.0;250.0
Centro;3;2;1;120;2500.0;1500.0;208.0
Catete;2;0;0;71;1900.0;566.0;129.0
Curicica;2;1;0;60;1500.0;350.0;0.0
Barra da Tijuca;3;2;3;127;6000.0;1700.0;3500.0
Freguesia (Jacarepaguá);2;0;0;75;1300.0;200.0;125.0
Barra da Tijuca;3;2;1;126;5400.0;980.0;594.0
Botafogo;3;2;2;130;4200.0;1357.0;326.0
Leme;2;0;0;75;2600.0;878.0;0.0
Vila Isabel;2;1;0;69;1350.0;670.0;0.0
Tijuca;2;1;0;210;3200.0;792.0;178.0
Tijuca;3;1;0;105;2200.0;684.0;132.0
Copacabana;4;1;1;298;3500.0;3080.0;0.0
Todos os Santos;3;1;1;78;1300.0;571.0;0.0
Barra da Tijuca;2;1;1;69;2650.0;1300.0;200.0
Barra da Tijuca;2;1;0;84;2200.0;900.0;2000.0
Taquara;2;1;0;50;850.0;450.0;12.0
Ipanema;3;2;2;190;21500.0;2700.0;700.0
Barra da Tijuca;3;3;1;132;4900.0;2100.0;220.0
Barra da Tijuca;2;1;1;69;1700.0;975.0;183.0
Humaitá;3;2;1;112;4500.0;1400.0;231.0
Tijuca;3;1;0;75;1900.0;510.0;0.0
Copacabana;4;1;2;264;3500.0;1900.0;68.0
Copacabana;2;1;1;81;3700.0;1033.0;220.0
Barra da Tijuca;4;3;2;218;4900.0;2406.0;683.0
Barra da Tijuca;5;3;3;320;11000.0;4408.0;1575.0
Leme;1;0;0;60;2600.0;600.0;60.0
Barra da Tijuca;3;2;1;90;2800.0;1517.0;359.0
Barra da Tijuca;3;1;1;92;3500.0;1200.0;0.0
Leblon;2;0;0;66;2600.0;661.0;149.0
Tijuca;2;0;0;80;1600.0;250.0;20.0
Barra da Tijuca;3;1;1;120;4200.0;1024.0;623.0
Ipanema;3;1;1;98;4950.0;1200.0;260.0
Copacabana;3;1;0;138;2800.0;1501.0;318.0
Recreio dos Bandeirantes;3;2;1;120;2200.0;550.0;174.0
Barra da Tijuca;3;3;3;145;5100.0;1100.0;0.0
Copacabana;2;0;1;52;2800.0;800.0;50.0
Centro;1;0;0;50;1260.0;290.0;23.0
Rocha;2;1;0;74;1250.0;630.0;38.0
Barra da Tijuca;2;1;1;91;3800.0;1055.0;0.0
São Cristóvão;2;1;1;55;1500.0;520.0;1.0
Botafogo;3;2;0;150;5500.0;1000.0;0.0
Botafogo;3;2;1;115;4500.0;1200.0;0.0
Lagoa;1;1;1;120;7000.0;1500.0;285.0
Leblon;4;2;4;200;10500.0;2710.0;944.0
Leblon;3;1;1;100;4500.0;1407.0;0.0
Leblon;3;1;1;150;7000.0;2500.0;383.0
Barra da Tijuca;2;1;1;75;2100.0;638.0;0.0
Copacabana;1;0;0;33;1400.0;561.0;29.0
Barra da Tijuca;3;1;1;88;2300.0;803.0;0.0
Barra da Tijuca;2;1;1;101;3000.0;2100.0;265.0
Tijuca;3;2;0;74;2500.0;713.0;95.0
Copacabana;2;0;0;70;2200.0;520.0;0.0
Leblon;3;2;3;274;15000.0;5000.0;1700.0
Maracanã;2;1;0;65;1600.0;668.0;0.0
Copacabana;4;2;2;389;12400.0;3522.0;0.0
Copacabana;3;1;0;220;7000.0;2200.0;0.0
Leblon;3;1;1;150;5000.0;1100.0;390.0
Flamengo;1;0;0;52;1550.0;620.0;0.0
Lagoa;3;1;1;117;5500.0;1000.0;456.0
Flamengo;3;2;1;216;5800.0;1750.0;350.0
Ipanema;2;1;2;74;10000.0;4042.0;393.0
Copacabana;3;1;0;90;3000.0;780.0;175.0
Pavuna;2;1;0;45;800.0;266.0;0.0
Freguesia (Jacarepaguá);3;1;1;100;2500.0;912.0;132.0
Barra da Tijuca;2;1;0;73;2500.0;980.0;199.0
Leblon;3;1;1;100;10000.0;1900.0;275.0
Lagoa;3;2;3;125;4700.0;1702.0;561.0
Barra da Tijuca;2;1;1;74;1600.0;900.0;0.0
Rio Comprido;2;0;0;67;1500.0;454.0;15.0
Barra da Tijuca;2;1;1;95;2000.0;1800.0;100.0
Tijuca;2;1;1;71;1400.0;600.0;0.0
Recreio dos Bandeirantes;3;3;1;300;2900.0;1000.0;784.0
Recreio dos Bandeirantes;2;1;2;85;2300.0;1350.0;142.0
Barra da Tijuca;2;1;1;70;2550.0;980.0;125.0
Tijuca;3;0;0;120;1800.0;616.0;118.0
Recreio dos Bandeirantes;2;1;1;79;1800.0;1171.0;133.0
Freguesia (Jacarepaguá);2;1;0;52;1100.0;618.0;13.0
Barra da Tijuca;2;1;1;72;1600.0;930.0;164.0
Barra da Tijuca;3;3;3;233;20000.0;3522.0;1293.0
Todos os Santos;2;0;0;72;1200.0;490.0;14.0
Botafogo;2;1;1;85;2900.0;1400.0;0.0
Anil;2;1;0;47;1600.0;430.0;126.0
Tijuca;4;2;1;120;4000.0;900.0;300.0
Barra da Tijuca;4;2;1;120;3000.0;2267.0;300.0
Leblon;3;1;1;120;6500.0;1890.0;452.0
Recreio dos Bandeirantes;3;2;1;87;2600.0;777.0;224.0
Copacabana;2;1;0;88;3800.0;727.0;140.0
Jardim Botânico;3;1;1;104;3800.0;1200.0;100.0
Méier;2;1;0;61;1100.0;516.0;742.0
Jardim Oceânico;3;2;1;170;4500.0;1500.0;500.0
Catete;1;1;0;48;1700.0;725.0;0.0
Ipanema;2;1;0;100;3000.0;800.0;280.0
Copacabana;3;1;0;98;3800.0;964.0;230.0
Recreio dos Bandeirantes;3;1;1;76;1800.0;850.0;150.0
São Conrado;2;1;2;103;4000.0;900.0;370.0
Copacabana;2;0;0;67;2100.0;820.0;153.0
Lapa;1;0;0;32;1600.0;500.0;20.0
Jacarepaguá;2;0;0;44;850.0;260.0;13.0
Recreio dos Bandeirantes;3;2;1;91;1900.0;1200.0;170.0
Ipanema;3;1;2;270;10000.0;2100.0;900.0
Copacabana;3;2;2;354;13640.0;3825.0;1379.0
Recreio dos Bandeirantes;3;2;1;124;2300.0;750.0;250.0
Barra da Tijuca;3;1;1;92;2500.0;1200.0;1732.0
Barra da Tijuca;2;1;0;78;2100.0;750.0;100.0
Botafogo;2;1;1;120;3300.0;1446.0;0.0
Leme;2;1;0;200;8500.0;2300.0;510.0
Ipanema;1;0;1;48;2400.0;766.0;87.0
Copacabana;4;1;1;220;15000.0;1300.0;408.0
Barra da Tijuca;2;1;1;89;2200.0;1144.0;101.0
Barra da Tijuca;4;2;1;189;8000.0;1790.0;686.0
Tijuca;2;0;0;40;1100.0;742.0;20.0
Recreio dos Bandeirantes;3;1;1;90;2000.0;800.0;257.0
Ipanema;3;1;1;130;7800.0;1325.0;493.0
Botafogo;2;0;0;52;1750.0;400.0;80.0
Freguesia (Jacarepaguá);5;3;2;204;3000.0;1063.0;372.0
Botafogo;3;1;1;101;5100.0;1310.0;270.0
Copacabana;2;0;2;85;6000.0;850.0;150.0
Santa Cruz;2;0;0;60;600.0;110.0;0.0
Copacabana;3;1;1;229;7000.0;2000.0;370.0
Tijuca;2;0;0;80;1400.0;618.0;70.0
Tijuca;2;1;1;85;3300.0;900.0;0.0
Vila Isabel;2;1;0;55;1400.0;665.0;48.0
Glória;2;1;0;74;2200.0;725.0;125.0
Flamengo;3;0;0;150;4500.0;1100.0;0.0
Tijuca;1;1;0;51;1300.0;412.0;21.0
Ipanema;2;1;1;109;3780.0;1500.0;306.0
Freguesia (Jacarepaguá);3;2;1;128;2800.0;1000.0;0.0
Vila da Penha;2;0;0;94;900.0;309.0;0.0
Barra da Tijuca;2;1;1;72;2300.0;1200.0;241.0
Barra da Tijuca;2;2;2;100;2800.0;1600.0;370.0
Leme;3;0;0;155;2800.0;1300.0;291.0
Flamengo;3;1;0;110;3300.0;1300.0;1600.0
Centro;1;0;0;40;1000.0;510.0;21.0
Lagoa;4;2;1;150;4500.0;1500.0;368.0
Copacabana;1;0;0;40;2000.0;510.0;0.0
Copacabana;3;0;0;113;3400.0;800.0;161.0
Barra da Tijuca;2;1;1;88;1900.0;1350.0;150.0
Ipanema;3;0;0;90;2600.0;1310.0;155.0
Lagoa;3;2;2;245;8500.0;2000.0;890.0
Méier;1;1;0;55;900.0;250.0;17.0
Ipanema;2;2;1;130;16500.0;1530.0;52.0
Barra da Tijuca;1;1;0;68;2100.0;1025.0;0.0
Urca;3;1;1;130;4900.0;2100.0;300.0
Ipanema;3;1;2;153;5000.0;1870.0;590.0
Copacabana;1;0;0;38;2000.0;560.0;69.0
Ipanema;2;0;0;64;3200.0;620.0;0.0
Barra da Tijuca;1;1;1;82;1800.0;1300.0;265.0
Cachambi;2;1;0;63;900.0;555.0;0.0
Ipanema;3;0;0;96;3400.0;800.0;0.0
Jardim Guanabara;2;1;0;90;1700.0;400.0;1200.0
Copacabana;2;1;0;69;2850.0;885.0;173.0
Copacabana;3;1;0;140;3100.0;1250.0;0.0
Tijuca;2;1;1;68;2400.0;1015.0;1152.0
Recreio dos Bandeirantes;3;2;1;132;2500.0;673.0;0.0
Laranjeiras;3;0;0;111;2300.0;767.0;127.0
Recreio dos Bandeirantes;3;3;1;86;1500.0;916.0;180.0
Ipanema;2;0;0;75;2900.0;700.0;0.0
Flamengo;3;2;3;450;14000.0;4500.0;1500.0
Santa Teresa;1;0;0;31;1300.0;500.0;0.0
Méier;2;1;1;66;1200.0;755.0;80.0
Glória;1;0;0;50;1400.0;450.0;20.0
Tijuca;3;0;0;120;2400.0;686.0;78.0
Humaitá;1;1;0;62;2500.0;980.0;115.0
Barra da Tijuca;3;2;1;350;7000.0;2700.0;600.0
São Conrado;4;3;2;280;11500.0;3800.0;1500.0
Ipanema;2;1;1;114;5100.0;988.0;207.0
Jardim Botânico;3;0;0;85;2500.0;790.0;0.0
Praça Seca;3;1;0;57;550.0;274.0;13.0
Barra da Tijuca;3;2;1;117;4500.0;1000.0;624.0
Recreio dos Bandeirantes;2;1;1;85;1500.0;570.0;180.0
Recreio dos Bandeirantes;3;3;2;188;3200.0;900.0;0.0
Freguesia (Jacarepaguá);2;1;2;50;1900.0;830.0;155.0
Barra da Tijuca;1;1;0;58;1800.0;966.0;0.0
Centro;1;0;0;55;850.0;350.0;35.0
Campo Grande;2;1;0;60;900.0;308.0;0.0
Leblon;4;2;2;180;17900.0;5000.0;800.0
Ipanema;3;1;1;150;7000.0;1710.0;400.0
Leblon;2;1;1;110;3900.0;1610.0;0.0
Recreio dos Bandeirantes;3;2;2;200;3950.0;1100.0;450.0
Leme;3;1;0;104;3600.0;1350.0;0.0
Recreio dos Bandeirantes;2;1;1;90;2200.0;1000.0;0.0
Tijuca;2;1;1;80;1800.0;1181.0;0.0
Centro;1;0;0;28;900.0;446.0;24.0
Leblon;4;2;1;142;6500.0;1790.0;472.0
Catete;1;0;0;27;1000.0;359.0;29.0
Camorim;2;1;0;50;900.0;350.0;16.0
Recreio dos Bandeirantes;2;1;1;128;2800.0;770.0;289.0
Barra da Tijuca;4;3;4;304;12000.0;3724.0;805.0
Copacabana;1;0;0;35;1800.0;1050.0;130.0
Recreio dos Bandeirantes;3;2;1;164;3000.0;1450.0;306.0
Tijuca;3;1;0;115;2250.0;1000.0;175.0
Andaraí;2;0;0;75;1200.0;150.0;20.0
Engenho Novo;1;1;0;62;900.0;555.0;0.0
Copacabana;2;0;0;67;2200.0;604.0;0.0
Barra da Tijuca;2;1;0;53;1400.0;673.0;0.0
Tijuca;1;0;0;35;800.0;380.0;24.0
Copacabana;1;0;0;50;1600.0;666.0;92.0
Copacabana;2;1;2;80;6000.0;3562.0;313.0
Leme;2;1;0;90;2500.0;800.0;0.0
Barra da Tijuca;4;2;4;144;7000.0;1450.0;175.0
Freguesia (Jacarepaguá);3;2;1;132;1800.0;1100.0;100.0
Botafogo;3;1;2;110;6000.0;1405.0;289.0
Recreio dos Bandeirantes;3;1;1;96;2200.0;715.0;153.0
Barra da Tijuca;2;1;1;69;2250.0;950.0;700.0
Cascadura;1;0;0;40;680.0;240.0;0.0
Méier;2;0;0;55;1250.0;502.0;14.0
Barra da Tijuca;2;1;0;104;5000.0;1952.0;650.0
Copacabana;1;0;0;50;1300.0;699.0;0.0
Recreio dos Bandeirantes;3;2;1;88;2500.0;900.0;600.0
Ipanema;2;1;1;110;5900.0;2800.0;270.0
Botafogo;1;0;0;40;1400.0;420.0;24.0
Anil;3;2;3;180;3800.0;900.0;784.0
Recreio dos Bandeirantes;2;1;1;75;2200.0;676.0;131.0
Lagoa;2;1;1;70;3300.0;735.0;212.0
Barra da Tijuca;3;1;2;97;2550.0;1306.0;256.0
Freguesia (Jacarepaguá);2;1;1;86;1600.0;790.0;0.0
Copacabana;4;2;1;298;7500.0;2618.0;305.0
Flamengo;3;1;1;500;13000.0;4400.0;0.0
Maracanã;2;0;0;60;1600.0;360.0;0.0
Barra da Tijuca;2;1;1;90;2800.0;890.0;245.0
Copacabana;4;1;1;154;4300.0;1400.0;0.0
Ipanema;3;1;1;112;10000.0;1303.0;220.0
Leme;2;0;1;70;6000.0;1200.0;230.0
Barra da Tijuca;2;1;2;90;2000.0;1490.0;0.0
Barra da Tijuca;4;2;2;145;6000.0;1800.0;6790.0
Cachambi;2;1;0;50;900.0;450.0;135.0
Freguesia (Jacarepaguá);1;1;0;50;1000.0;590.0;36.0
Recreio dos Bandeirantes;3;2;3;91;2500.0;650.0;100.0
Laranjeiras;3;1;1;110;7200.0;1350.0;0.0
Tijuca;2;0;2;68;1600.0;606.0;62.0
Copacabana;3;0;1;115;2900.0;950.0;102.0
Barra da Tijuca;4;4;4;235;17000.0;4400.0;1442.0
Recreio dos Bandeirantes;2;1;1;70;2000.0;690.0;185.0
Botafogo;3;0;0;157;2700.0;970.0;200.0
Camorim;2;1;1;50;1000.0;420.0;30.0
Camorim;2;1;1;69;1300.0;766.0;0.0
Barra da Tijuca;2;1;1;130;3000.0;1410.0;234.0
Tijuca;2;1;0;86;1100.0;534.0;0.0
Laranjeiras;2;1;0;75;2200.0;895.0;107.0
Ipanema;3;1;0;140;3400.0;1222.0;0.0
Ipanema;4;3;1;232;8990.0;4500.0;1200.0
Leblon;1;0;1;57;3750.0;730.0;208.0
Recreio dos Bandeirantes;5;4;4;740;9000.0;3000.0;2500.0
Copacabana;1;0;0;39;1500.0;750.0;0.0
Leblon;3;1;0;150;6000.0;1500.0;413.0
Tijuca;2;1;0;67;1800.0;940.0;92.0
Barra da Tijuca;3;1;1;104;3000.0;1800.0;280.0
Botafogo;2;1;0;70;2800.0;750.0;12470.0
Flamengo;2;0;0;72;2250.0;671.0;132.0
Ipanema;4;2;1;140;7000.0;2500.0;0.0
Leblon;3;1;1;150;7500.0;770.0;556.0
Leblon;3;2;1;156;12000.0;2800.0;490.0
Ipanema;4;3;2;230;7500.0;3880.0;708.0
Grajaú;2;1;1;71;1700.0;863.0;0.0
Barra da Tijuca;3;1;1;102;2500.0;1300.0;0.0
Leblon;4;3;1;220;13900.0;2190.0;0.0
Botafogo;3;2;1;170;4600.0;1950.0;560.0
Engenho Novo;2;1;0;84;700.0;700.0;37.0
Lagoa;3;3;1;270;10000.0;4000.0;1000.0
Copacabana;3;1;0;140;3200.0;1000.0;225.0
Leblon;3;0;0;120;3600.0;907.0;207.0
Tijuca;2;0;0;84;1300.0;550.0;91.0
Lagoa;3;1;1;120;8000.0;1900.0;435.0
Tijuca;4;1;2;190;2000.0;1247.0;353.0
Botafogo;2;1;1;68;4000.0;870.0;200.0
Jacarepaguá;3;1;1;63;2000.0;650.0;58.0
Santa Teresa;2;1;0;69;2000.0;711.0;0.0
Pilares;2;0;0;60;900.0;25.0;0.0
Recreio dos Bandeirantes;3;2;1;100;2100.0;500.0;0.0
Leblon;3;1;0;190;7990.0;4000.0;700.0
Vila Isabel;3;1;0;80;1300.0;720.0;70.0
Ipanema;3;2;1;240;8900.0;1600.0;400.0
Ipanema;4;3;2;240;10500.0;3800.0;1043.0
Méier;2;1;0;61;1500.0;475.0;75.0
Recreio dos Bandeirantes;2;1;2;75;1700.0;1020.0;170.0
Taquara;2;1;1;55;1300.0;585.0;507.0
Encantado;2;1;0;55;1000.0;519.0;17.0
Recreio dos Bandeirantes;2;1;1;68;1500.0;700.0;0.0
Barra da Tijuca;2;1;0;58;1300.0;765.0;0.0
Copacabana;2;1;0;65;2300.0;677.0;0.0
Flamengo;1;0;0;39;1100.0;580.0;20.0
Centro;1;0;0;35;950.0;340.0;24.0
Copacabana;3;1;1;230;8500.0;3350.0;0.0
Barra da Tijuca;2;2;1;78;2490.0;1100.0;160.0
Taquara;2;1;0;50;1000.0;268.0;0.0
Flamengo;1;0;0;33;1300.0;336.0;0.0
Catete;2;0;0;71;2000.0;725.0;104.0
Glória;2;0;0;62;1300.0;495.0;0.0
Andaraí;2;1;1;73;1750.0;715.0;102.0
Barra da Tijuca;4;2;2;165;5800.0;1960.0;8982.0
Leblon;2;0;1;60;3500.0;1240.0;154.0
Tijuca;3;0;0;75;1500.0;877.0;36.0
Tijuca;3;0;0;75;2200.0;750.0;68.0
Ipanema;3;1;1;157;21000.0;3300.0;661.0
Méier;2;0;1;87;1300.0;95.0;16.0
Barra da Tijuca;2;0;0;100;3800.0;1430.0;152.0
Campo Grande;2;1;1;69;1195.0;450.0;20.0
Ipanema;3;2;1;100;5700.0;1324.0;365.0
Barra da Tijuca;2;1;1;80;1750.0;1200.0;87.0
Recreio dos Bandeirantes;3;2;2;160;3000.0;680.0;2474.0
Leblon;3;1;1;178;12000.0;1529.0;532.0
Ipanema;1;0;0;45;2700.0;650.0;50.0
Botafogo;3;1;1;102;5600.0;1290.0;256.0
Vila Isabel;3;1;1;110;1800.0;835.0;99.0
Ipanema;2;1;2;85;4500.0;1300.0;161.0
Ipanema;2;1;1;105;4000.0;1800.0;356.0
Flamengo;1;0;0;43;2000.0;440.0;70.0
Leblon;4;2;2;150;12490.0;2332.0;560.0
Barra da Tijuca;2;1;1;69;2500.0;970.0;0.0
Ipanema;3;0;1;140;5079.0;1171.0;250.0
Copacabana;1;1;1;42;1900.0;650.0;0.0
Ipanema;3;1;2;130;8500.0;2220.0;540.0
Recreio dos Bandeirantes;3;2;1;130;3500.0;950.0;283.0
Copacabana;2;0;0;82;1900.0;685.0;180.0
Copacabana;3;1;1;110;2600.0;1100.0;150.0
Recreio dos Bandeirantes;2;2;1;90;2000.0;595.0;170.0
Gávea;3;1;1;130;3295.0;1460.0;270.0
Recreio dos Bandeirantes;3;2;1;180;3500.0;785.0;0.0
Jardim Oceânico;3;3;1;337;5900.0;2166.0;1073.0
Copacabana;4;1;1;215;20000.0;2300.0;670.0
Laranjeiras;2;0;0;80;2500.0;360.0;85.0
Recreio dos Bandeirantes;3;2;1;110;1700.0;644.0;213.0
Barra da Tijuca;1;1;0;70;1500.0;1110.0;3050.0
Jardim Botânico;2;0;0;80;1900.0;800.0;138.0
Copacabana;2;0;0;80;2600.0;450.0;125.0
Recreio dos Bandeirantes;3;3;2;135;3500.0;1400.0;4810.0
Freguesia (Jacarepaguá);2;1;1;92;1400.0;870.0;850.0
Leblon;3;2;2;200;16000.0;4200.0;720.0
Rio Comprido;3;1;1;144;2499.0;100.0;125.0
Engenho de Dentro;2;1;1;50;1100.0;516.0;0.0
Jardim Botânico;2;1;1;80;2900.0;1100.0;120.0
Recreio dos Bandeirantes;1;1;1;70;2500.0;1700.0;150.0
Tijuca;3;2;0;74;2500.0;785.0;93.0
Bonsucesso;3;0;0;110;1500.0;420.0;268.0
Tijuca;3;1;1;150;2500.0;1200.0;175.0
Botafogo;2;1;1;100;5550.0;1290.0;341.0
Lagoa;3;1;1;120;4000.0;750.0;400.0
Recreio dos Bandeirantes;2;2;1;80;2000.0;478.0;0.0
Botafogo;3;2;1;157;4500.0;1950.0;360.0
Copacabana;2;2;1;80;2100.0;1227.0;0.0
Vila Isabel;1;0;0;45;1200.0;424.0;24.0
Copacabana;2;0;0;58;1800.0;675.0;127.0
Leme;1;0;0;70;2500.0;526.0;0.0
Urca;3;1;1;100;4500.0;1100.0;260.0
Vista Alegre;2;1;0;65;1400.0;180.0;0.0
Gávea;2;1;1;68;2800.0;850.0;110.0
Vila da Penha;2;0;0;68;1300.0;200.0;0.0
Recreio dos Bandeirantes;3;2;1;170;2500.0;1017.0;280.0
Botafogo;1;0;0;42;1500.0;293.0;86.0
Tijuca;2;1;0;67;2000.0;760.0;0.0
Botafogo;2;1;2;60;2500.0;1100.0;160.0
Botafogo;3;1;0;110;5950.0;1446.0;289.0
Barra da Tijuca;2;1;2;93;3500.0;1350.0;0.0
Botafogo;2;1;2;136;4800.0;1200.0;0.0
Copacabana;2;0;0;54;2200.0;602.0;70.0
Copacabana;4;1;1;300;4500.0;2200.0;0.0
Barra da Tijuca;5;2;2;540;10000.0;1800.0;1800.0
Gávea;1;0;0;50;30000.0;2500.0;5000.0
Camorim;2;1;0;55;800.0;370.0;16.0
Barra da Tijuca;5;3;3;450;8000.0;2600.0;1250.0
Glória;1;0;0;50;1300.0;640.0;57.0
Barra da Tijuca;2;1;0;90;3000.0;1590.0;255.0
Botafogo;2;1;2;85;4650.0;1309.0;202.0
Ipanema;1;0;0;65;4000.0;500.0;150.0
Higienópolis;2;0;1;48;1100.0;200.0;0.0
Jardim Botânico;3;1;1;130;5800.0;1730.0;250.0
Barra da Tijuca;2;1;1;98;2250.0;1490.0;235.0
Recreio dos Bandeirantes;3;3;2;130;3700.0;877.0;415.0
Barra da Tijuca;4;3;4;256;8500.0;2900.0;0.0
Tijuca;1;1;0;47;1100.0;600.0;0.0
Leblon;2;1;1;92;4500.0;1200.0;307.0
Recreio dos Bandeirantes;2;1;1;66;1700.0;790.0;99.0
Tijuca;3;1;0;100;1700.0;840.0;110.0
Glória;1;0;0;60;1500.0;775.0;0.0
Gávea;2;1;0;75;3300.0;500.0;1114.0
Lagoa;1;1;0;50;2300.0;1440.0;451.0
Recreio dos Bandeirantes;3;3;2;180;2700.0;760.0;450.0
Humaitá;1;1;0;62;2200.0;795.0;130.0
Jabour;2;1;0;71;610.0;590.0;0.0
Tijuca;1;0;0;80;1900.0;550.0;51.0
Pechincha;2;1;1;65;1500.0;440.0;35.0
Taquara;2;1;0;50;850.0;260.0;0.0
Tijuca;2;1;1;78;2400.0;900.0;132.0
Madureira;1;0;0;55;700.0;200.0;0.0
Copacabana;4;2;3;350;10000.0;1800.0;0.0
Ipanema;3;1;1;130;5300.0;1250.0;400.0
Barra da Tijuca;2;1;1;69;2300.0;960.0;0.0
Anil;2;1;0;50;1300.0;540.0;125.0
Tijuca;3;1;0;90;2350.0;747.0;0.0
Leblon;3;1;1;100;6400.0;2100.0;450.0
Barra da Tijuca;2;2;1;105;6000.0;2450.0;2700.0
São Conrado;2;2;2;80;2800.0;873.0;0.0
Recreio dos Bandeirantes;2;1;2;70;2600.0;1026.0;301.0
Recreio dos Bandeirantes;2;2;1;118;1600.0;1005.0;254.0
Copacabana;1;0;0;35;1500.0;700.0;0.0
Copacabana;1;0;0;55;1100.0;560.0;57.0
Laranjeiras;1;0;0;27;1100.0;680.0;29.0
Barra da Tijuca;5;4;5;384;11000.0;5268.0;1124.0
Ipanema;3;2;1;150;7000.0;2200.0;387.0
Ipanema;3;2;1;160;6900.0;2511.0;0.0
Vila Isabel;2;1;0;62;1100.0;617.0;21.0
Ipanema;3;2;1;160;11000.0;3000.0;0.0
Copacabana;2;0;2;88;3500.0;820.0;175.0
Maracanã;3;2;1;98;2100.0;910.0;180.0
Barra da Tijuca;4;3;4;251;15000.0;3000.0;523.0
Taquara;2;1;0;60;750.0;290.0;15.0
Botafogo;2;1;1;64;3350.0;920.0;150.0
Copacabana;3;1;1;182;8500.0;1296.0;340.0
Copacabana;2;0;0;63;2200.0;452.0;128.0
Jacarepaguá;2;1;1;80;1150.0;872.0;40.0
Barra da Tijuca;2;1;1;72;1600.0;780.0;14.0
Ipanema;3;3;2;270;18000.0;3000.0;1120.0
Ipanema;3;1;0;90;3500.0;850.0;150.0
Ipanema;2;1;1;66;3900.0;764.0;84.0
Glória;1;0;0;50;950.0;570.0;67.0
Barra da Tijuca;4;3;2;290;9000.0;3700.0;600.0
Ipanema;3;1;1;140;7200.0;2900.0;8632.0
Ipanema;3;1;0;100;3200.0;1350.0;235.0
Copacabana;2;1;0;70;3500.0;1800.0;170.0
Botafogo;1;0;0;56;1900.0;680.0;0.0
Ipanema;2;1;1;100;13000.0;3685.0;442.0
Centro;1;1;0;42;1500.0;490.0;22.0
São Francisco Xavier;2;1;0;48;950.0;491.0;36.0
Lagoa;3;2;0;110;4000.0;1630.0;382.0
Maracanã;2;1;1;85;1900.0;930.0;107.0
Tijuca;3;1;1;90;2000.0;887.0;123.0
Praça Seca;1;1;0;45;650.0;370.0;140.0
Freguesia (Jacarepaguá);2;1;1;70;1650.0;720.0;85.0
Camorim;3;1;1;70;1500.0;677.0;40.0
Irajá;3;1;0;60;1250.0;490.0;0.0
Cachambi;2;0;0;59;1100.0;650.0;50.0
Botafogo;3;1;3;108;6000.0;1670.0;290.0
Barra da Tijuca;3;2;1;109;3100.0;1904.0;205.0
São Cristóvão;2;0;0;70;1200.0;400.0;20.0
Barra da Tijuca;1;1;0;61;1500.0;909.0;0.0
Barra da Tijuca;2;1;0;52;1100.0;620.0;0.0
Higienópolis;1;0;1;37;900.0;308.0;0.0
Tijuca;2;1;0;90;2000.0;700.0;75.0
Barra da Tijuca;2;1;1;100;2500.0;1498.0;339.0
Ramos;2;1;0;65;700.0;400.0;0.0
Humaitá;2;1;1;74;3000.0;1289.0;11.0
São Cristóvão;2;0;0;46;1100.0;395.0;15.0
Barra da Tijuca;2;1;1;73;2000.0;1033.0;100.0
Centro;1;0;0;34;1000.0;450.0;21.0
